Node,Clustering Coefficient
p1,0.2517324171389098
u3,0.017949511994507596
u4,0.020085441333770434
u2,0.015514399083759576
p62,0.13648810086873897
p177,0.27037688663663617
p1178,0.2569048989930011
p1594,0.15534898643992026
p1595,0.41174673128038625
p1596,0.41174673128038625
p1597,0.41174673128038625
p1598,0.41174673128038625
p1599,0.4117467312803863
p1600,0.41174673128038625
p1601,0.4117467312803863
p1602,0.41174673128038625
p1603,0.41174673128038625
p1604,0.41174673128038625
p1605,0.41174673128038625
p1606,0.41174673128038625
p1607,0.41174673128038625
p1608,0.41174673128038625
p1609,0.41174673128038625
p1610,0.41174673128038625
p1611,0.41174673128038625
p1612,0.41174673128038625
p1622,0.41174673128038625
p1623,0.41174673128038625
p1624,0.41174673128038625
p1625,0.41174673128038625
p1626,0.41174673128038625
p1627,0.41174673128038625
p1628,0.41174673128038625
p1629,0.4117467312803863
p1630,0.41174673128038625
p1631,0.41174673128038625
p1632,0.41174673128038625
p1633,0.41174673128038625
p1634,0.41174673128038625
p1635,0.41174673128038625
p1636,0.41174673128038625
p1637,0.41174673128038625
p1638,0.41174673128038625
p1639,0.4344457625707625
p1761,0.21834181347828566
p2209,0.1558275634825998
p348358,0.07894437872763489
p414284,0.07171824079943155
p1936172,0.09096036972460496
p8,0.3931899461189294
p11,0.1642067535271351
p14,0.10394754537859291
p17,0.16697976099324457
p21,0.16792472471008943
p37,0.06452093419033386
p69,0.12498607895448222
p149,0.3931899461189294
p161,0.14890499932039122
p165,0.20234485173931596
p519,0.18940030184288986
p520,0.3931899461189294
p523,0.255633411148117
p524,0.3931899461189294
p525,0.3931899461189294
p526,0.3931899461189294
p537,0.16336739882119075
p545,0.16318406758799622
p560,0.17847323470658844
p562,0.3931899461189294
p564,0.13574761068233418
p876,0.2728960218494351
p995,0.243974846749989
p1003,0.2651859203056907
p1064,0.21329673818886638
p1077,0.19810801295395114
p1080,0.07858629467396533
p1153,0.2749937724557192
p1244,0.2728960218494352
p1251,0.12818589062110444
p1312,0.1576836625951175
p1517,0.23601910334853732
p1521,0.18425396069358763
p1677,0.15231461752292913
p1863,0.35421026089773
p1864,0.35421026089773
p1866,0.13510865897687158
p1887,0.20594848796641899
p2032,0.20594848796641899
p2138,0.1796810113294791
p2157,0.35421026089773
p2175,0.23601910334853737
p2213,0.14041441806083582
p2363,0.20510009665595916
p2422,0.22880060956906378
p2425,0.3931899461189294
p2456,0.2043126795956565
p2479,0.17820084542385448
p2480,0.1492820601945771
p2582,0.13131157817402217
p2671,0.3931899461189294
p2699,0.15309985566535209
p3124,0.3931899461189294
p3125,0.3931899461189294
p3126,0.19927539756368384
p3129,0.3737547454797135
p3139,0.2606761327520108
p3281,0.2845197016283747
p3504,0.26230022729786084
p3508,0.35421026089773
p3511,0.35421026089773
p3972,0.24719223109841412
p4041,0.3421191378908541
p4042,0.28846710357407335
p4043,0.3931899461189294
p4084,0.2318852698751622
p4091,0.26230022729786084
p4092,0.3931899461189294
p4103,0.3931899461189294
p4104,0.18526287347284093
p4665,0.23435786763223843
p1979521,0.2165621915621903
p71,0.2064539664444628
p158,0.23173073964434251
p235,0.2722356829876261
p317,0.38270537808773
p324,0.38270537808773
p450,0.19421865215754117
p451,0.1906922743689273
p453,0.19346639854980757
p532,0.16227375094657814
p542,0.38270537808773
p916,0.2758097157386102
p969,0.09747516871519366
p997,0.2721647622937346
p1009,0.22125737499719456
p1133,0.3458014208014208
p1196,0.13004055818882998
p1199,0.1892882959603176
p1232,0.22749058486481424
p1233,0.38270537808773
p1566,0.30387420396789916
p1567,0.30387420396789916
p1568,0.30387420396789916
p1569,0.3038742039678991
p1570,0.30387420396789916
p2452,0.3458014208014208
p2597,0.26130803382513396
p2959,0.19398961603834688
p3431,0.2112688729993713
p3559,0.22755812209424126
p4093,0.2284798789171165
p4122,0.28282372497641994
p183627,0.3458014208014208
u8,0.01860280281200599
p9,0.14821974021558293
p23,0.16708158431504885
p32,0.1443658659535402
p33,0.2980068298692072
p34,0.19186301236693903
p45,0.46281179107686055
p48,0.2232337531630081
p52,0.24380347856135073
p56,0.1661514966913377
p68,0.17387440294374765
p76,0.3560798394454244
p77,0.23766670816647703
p95,0.14130758097290153
p96,0.21512606857104136
p97,0.14266202377090206
p98,0.2151260685710414
p99,0.18802342826943386
p100,0.18793396772001816
p101,0.15679121444156696
p102,0.20196257628510786
p109,0.2618835656271436
p116,0.11879654776144213
