Node,Hub Score
u14244,4.331770384295169e-07
u25257,2.61834842927107e-07
u12584,4.6752815590508656e-07
u15308,3.622957985040551e-07
u2470,3.3915147845552895e-05
u8394,3.9193440981838925e-07
u22366,3.042467551476318e-07
u20737,1.3803329731522972e-139
u27416,1.3803329731522972e-139
u13345,3.906701183139882e-07
u26129,1.3803329731522972e-139
u20311,1.1179381927838805e-06
u7245,8.754348391723323e-07
u12496,3.6383186918853376e-07
u22238,4.023519265185701e-07
u24348,8.733419314614935e-08
u13830,1.6680551263528742e-06
u15560,2.6870698818598864e-07
u22760,1.5105605507396113e-07
u14616,7.078312164741329e-07
u13150,2.2826851888434469e-07
u9117,1.3500685998980126e-06
u16291,2.2647519360997598e-06
u18853,1.1579072221249146e-132
u8438,5.256478321819254e-07
u21857,1.0406960146673457e-07
u24898,2.1776929604351998e-07
u3553,3.308461323682405e-07
u6405,6.299696031833005e-07
u26896,1.0713908111735579e-07
u22210,2.8996750849571275e-07
u5523,6.373121009953914e-07
u28448,2.429123634121147e-09
u3378,3.308461323682405e-07
u9309,9.109777546386426e-07
u7635,5.248570329854368e-07
u21664,3.434455611320704e-09
u24088,1.3803329731522972e-139
u11712,5.142888983415188e-07
u2421,1.665052385684042e-06
u23102,9.844150013770518e-09
u13275,3.8143431933841655e-07
u26876,1.3803329731522972e-139
u4354,7.965011273555312e-06
u14471,4.7495243682184674e-07
u14132,2.5021728961185338e-08
u7321,5.154632188886913e-07
u10975,1.248260750037646e-06
u19290,1.2432851796582407e-07
u17126,1.2262794108667308e-06
u22431,1.3803329731522972e-139
u13387,2.635045882777385e-07
u15448,8.307815342624733e-07
u968,7.942963711579307e-07
u4950,1.6950562230858987e-07
u12727,9.961542661560333e-08
u1615,1.3506040271205808e-06
u17878,7.542368954284937e-08
u26212,1.3803329731522972e-139
u15924,3.7051169832329587e-07
u2593,1.44763404978303e-05
u14987,1.354923003149259e-07
u10153,5.246080034237066e-07
u18354,2.28351094792022e-07
u18294,3.2809759741302496e-07
u14297,3.9321008552577956e-07
u18974,5.061788471990043e-07
u5088,9.323868532501008e-06
u24982,1.1579072221249146e-132
u15964,1.0645346916363217e-07
u16125,8.42534305550254e-08
u8944,1.9230182527254322e-06
u22835,1.3803329731522972e-139
u26089,1.8003873310893283e-07
u13925,6.550631703729757e-07
u4303,5.591648610281757e-06
u9972,1.2678312683839366e-06
u15805,1.3803329731522972e-139
u4331,4.1573291480389564e-07
u4994,1.6950562230858987e-07
u23381,1.9383477668985906e-08
u23921,2.3343820984358446e-07
u24915,1.8008583791575427e-07
u13236,4.841589286637575e-07
u12721,4.17191617201465e-07
u248,0.0005109325815865648
u6756,5.781829263943463e-07
u6803,2.2362547396591034e-06
u18670,2.189981431403148e-07
u21915,3.088630047808901e-08
u6340,4.441993371071374e-06
u9131,4.5344639992311227e-07
u15990,1.3803329731522972e-139
u2152,8.085487720138097e-07
u29145,1.3803329731522972e-139
u9231,4.4668480461713686e-07
u27885,1.3803329731522972e-139
u17644,1.3803329731522972e-139
u10099,3.5752055005089654e-07
u393,0.00039617608135687874
u7565,9.470046681242406e-07
u24943,1.384281900276228e-07
u9853,3.698108678503991e-07
u7895,2.5032338799194485e-06
u28973,2.1562079887567153e-07
u7123,7.426406599341333e-06
u19744,3.177837540754754e-07
u13170,1.9304718204666947e-06
u25586,1.3271978388772912e-07
u19541,7.90007694342244e-08
u1839,2.2491552519597632e-05
u9859,3.981819838752428e-07
u4674,6.046446809538385e-07
u12455,4.323216768787931e-07
u17981,6.584764193245188e-07
u12719,3.923623708143812e-07
u3137,1.7848321210102684e-05
u17884,3.871338657916794e-07
u386,8.027087528259609e-05
u22095,4.5550686661583885e-07
u1054,3.9633588513734636e-06
u7735,5.611840476085485e-07
u19933,2.856597403480801e-07
u16598,4.5422137048744294e-07
u176,0.001972571496079428
u1433,0.00014173543176334216
u27576,4.783832895226381e-07
u9246,3.547399966569885e-07
u13921,3.576825499450702e-07
u12256,1.273068614674611e-06
u8446,5.115548260521379e-07
u19915,3.0700131048003085e-07
u24123,2.514522078102514e-07
u24044,8.225719592151165e-08
u27407,4.2154111281878383e-07
u27432,1.3803329731522972e-139
u26565,1.1893730506502327e-07
u20846,1.0146454545732503e-07
u7883,5.529263531464451e-07
u3328,3.308461323682405e-07
u16413,2.3901201805205873e-07
u20121,3.537861309200402e-07
u17213,1.6529492426861767e-07
u27486,1.3803329731522972e-139
u21228,6.111718724974353e-08
u13176,3.8461138857350987e-07
u23717,3.233225495964031e-08
u11746,3.7459681952615313e-07
u22529,1.1579072221249146e-132
u25259,1.3803329731522972e-139
u9642,6.030991794286729e-06
u25047,2.0965739229885215e-07
u6378,1.0360082100587951e-06
u15696,4.318460920074926e-07
u9935,4.808606075764174e-07
u28191,9.844139592743535e-09
u8576,4.234045771252979e-07
u24401,8.916842426186799e-08
u21912,1.0798336075118007e-07
u16523,4.0481742584979356e-07
u9119,4.088736185965748e-06
u8253,3.944485302530564e-06
u13012,4.0515675439593326e-07
u8512,4.940115816777472e-07
u25627,1.6650654190830175e-09
u12997,3.9911832417713047e-07
u13489,4.774925515358862e-07
u20660,1.1579072221249146e-132
u6721,5.120035306443047e-07
u16761,3.6903429942666865e-07
u16914,3.644035033233137e-07
u7918,2.5593912944094015e-06
u4164,5.970176132307413e-07
u19634,4.480073530429153e-07
u25991,1.3803329731522972e-139
u7741,1.4437728471186241e-06
u22949,2.7915798968183046e-08
u12915,3.8047705415179766e-07
u22687,2.5252674179368886e-07
u20283,9.164105792615938e-08
u3001,2.8593466904516173e-06
u28142,1.3803329731522972e-139
u5086,1.5268355317018415e-06
u21782,2.500238502985943e-07
u27830,1.2908971409298788e-07
u25274,6.576277948688279e-07
u17342,3.59337170356692e-07
u22179,2.5323628274472743e-07
u23740,2.7915828519911667e-08
u27846,4.599405081578709e-09
u27524,1.38439580545178e-08
u18453,2.28351094792022e-07
u15663,2.564039473876178e-07
u22078,4.4822971135351047e-07
u5452,3.1522508253827883e-06
u6165,1.604811687754776e-06
u15698,2.776920393406819e-07
u21106,1.3803329731522972e-139
u15003,1.9334764430950427e-07
u4272,2.223236801851508e-05
u16134,3.8535939088358895e-07
u3803,3.308461323682405e-07
u319,1.188258559424767e-06
u20922,3.943346433911002e-07
u2471,6.830294799389485e-06
u25516,1.3803329731522972e-139
u10165,6.677702234916605e-07
u13337,3.1285724106972374e-07
u3490,1.0932297750589954e-05
u14858,2.925219261543015e-07
u7857,6.135382083256179e-07
u20761,1.0720112323247988e-08
u21117,1.3803329731522972e-139
u12213,1.91584868355738e-06
u24518,2.9772989226771317e-07
u506,1.0076955792865932e-06
u2015,3.4485798575709174e-07
u25646,4.3887236273362265e-09
u377,1.4544515818711446e-05
u17574,9.466205262877471e-07
u804,0.0002781715448251581
u28387,5.8381561161384294e-09
u20797,3.441372496771019e-07
u29120,1.894019219213923e-07
u8546,3.44482092079445e-07
u10356,1.63363076380597e-06
u141,0.00010136541652926905
u955,4.633786771019938e-07
u11516,4.982304766158669e-07
u6896,2.970069722676586e-06
u18444,2.28351094792022e-07
u9636,5.202495598854376e-07
u19022,1.9094846609618133e-07
u25771,1.1579072221249146e-132
u10452,2.193807403725515e-06
u10576,2.075647922028796e-06
u15980,3.1186313034983743e-07
u6190,8.882516815764408e-07
u11228,6.632165510708712e-07
u5845,6.252087883556971e-07
u15221,3.469123049350204e-07
u21078,7.790660878903702e-08
