Node,Authority Score
p14,3.4733423162848547e-06
p1076,3.4541342458585595e-06
p4619,3.451626884529715e-06
p1679,3.403542907481609e-06
p339326,3.3741303262336288e-06
p2880,3.3712878604801858e-06
p3431,3.3705759498211297e-06
p2552,3.3492383635215237e-06
p1087,3.3435665006900943e-06
p4099,3.3393212354834415e-06
p87859,3.3314287102125487e-06
p529,3.330046446629964e-06
p827040,3.3296555445506305e-06
p2390,3.317110741901059e-06
p1088,3.3041170184262727e-06
p23,3.3019732700150155e-06
p1458,3.29546614506296e-06
p45,3.292455907679533e-06
p5100,3.2742535485006932e-06
p6603,3.269655859779888e-06
